,player_name,age,pos,mp,pts,ast,trb,stl,blk,fg_pct,3p_pct,ft_pct,tov,fga,3pa,2pa,fta,orb,drb,per,bpm,vorp,usg
0,Mikal Bridges,28,SF,3036,17.1,3.6,3.1,0.9,0.5,0.5,0.354,0.814,1.6,14,5.5,8.5,1.4,0.8,2.2,14,-0.5,1.2,19.6
1,Josh Hart,29,SG,2897,13.1,5.6,9.2,1.5,0.3,0.525,0.333,0.776,2,9.6,3.1,6.4,2.5,2,7.2,16.5,2.8,3.6,15.3
2,Anthony Edwards,23,SG,2871,27.3,4.5,5.6,1.1,0.6,0.447,0.395,0.837,3.1,20.2,10.2,10,6.2,0.8,4.9,20.1,4.3,4.6,31.4
3,Devin Booker,28,SG,2795,24.8,6.8,3.9,0.9,0.2,0.461,0.332,0.894,2.8,18.3,7.1,11.2,6.2,1,2.9,19.3,0.4,1.7,29.3
4,James Harden,35,PG,2789,23.3,8.9,5.9,1.5,0.7,0.41,0.352,0.874,4.4,16.7,8.6,8.1,7.5,0.7,5.2,20,4.3,4.4,29.6
5,DeMar DeRozan,35,SF,2768,22.2,4.4,3.9,0.8,0.4,0.477,0.328,0.857,1.4,17,3.3,13.7,5.7,0.7,3.2,17.7,-0.1,1.3,25
6,Trae Young,26,PG,2739,24.2,11.6,3.1,1.2,0.2,0.411,0.34,0.875,4.7,18.1,8.4,9.6,7.4,0.5,2.6,18.3,0.5,1.7,29.6
7,Tyler Herro,25,SG,2725,24.3,5.6,5.3,0.9,0.2,0.472,0.375,0.878,2.6,18.2,8.9,9.4,4.3,0.5,4.8,19.7,3.1,3.5,28
8,OG Anunoby,27,PF,2706,17.7,2.2,4.8,1.5,0.9,0.476,0.372,0.81,1.4,13.7,6.1,7.5,3,1.3,3.5,15.4,0.7,1.9,19.7
9,Jalen Green,22,SG,2697,23,3.8,5,0.9,0.4,0.423,0.354,0.813,2.7,19.2,8.8,10.4,4.5,0.6,4.4,15.1,0.5,1.7,27.3
10,Christian Braun,23,SG,2675,16.4,2.8,5.5,1.1,0.5,0.58,0.397,0.827,1.1,11,3,8,2.9,1.3,4.2,16,0.3,1.6,15.8
11,Bam Adebayo,27,C,2674,19,4.5,10.1,1.3,0.7,0.485,0.357,0.765,2.2,15,3,12,4.4,2.5,7.6,18.9,2,2.7,23.5
12,Jayson Tatum,26,PF,2624,26.5,5.9,8.5,1,0.5,0.452,0.343,0.814,2.9,20.1,10,10.1,6,0.7,7.9,21.7,5.2,4.8,31.2
13,Jaden McDaniels,24,PF,2614,13.8,2.2,6.5,1.5,1,0.477,0.33,0.813,1.3,11.5,4.2,7.3,1.8,1.8,4.7,13.3,0,1.4,16.3
14,Keegan Murray,24,PF,2610,13,1.5,7,0.8,1,0.444,0.343,0.833,0.8,11.3,6.2,5.1,1,2,5,12,-1.6,0.2,15
15,Zach LaVine,29,SF,2602,23.9,4.3,4.4,0.8,0.2,0.511,0.446,0.825,2.9,16.9,7.4,9.5,3.9,0.3,4.1,17.3,0.7,1.8,25.3
